s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.1561258E+002, 1.2503120E+001,-3.8656916E+000,-4.5254505E+000,-2.4746410E+000, 2.5452635E-003, 0.0000000E+000, 0.0000000E+000, 1.7899173E+000, 1.6398820E+000, 6.5707755E-004, 6.5707755E-004
 1.1580354E+002, 1.2502881E+001,-4.4304666E+000,-4.6303910E+000,-2.4977744E+000, 2.5444200E-003, 0.0000000E+000, 0.0000000E+000, 1.6994245E+000, 9.4679359E-001, 6.5707755E-004, 6.5707755E-004
 1.1599450E+002, 1.2503282E+001,-3.8449836E+000,-4.6471672E+000,-2.4846068E+000, 2.5439510E-003, 0.0000000E+000, 0.0000000E+000, 1.0365720E+000, 1.5290679E+000, 6.5707755E-004, 6.5707755E-004
 1.1618546E+002, 1.2501650E+001,-3.8729672E+000,-4.6416812E+000,-2.4761448E+000, 2.5444353E-003, 0.0000000E+000, 0.0000000E+000, 1.6415206E+000, 1.5134011E+000, 6.5707755E-004, 6.5707755E-004
 1.1637643E+002, 1.2500797E+001,-3.8706445E+000,-4.5891293E+000,-2.4860272E+000, 2.5457001E-003, 0.0000000E+000, 0.0000000E+000, 1.6417502E+000, 1.5575417E+000, 6.5707755E-004, 6.5707755E-004
 1.1656739E+002, 1.2499982E+001,-4.5336933E+000,-4.4866225E+000,-2.5202664E+000, 2.5471168E-003, 0.0000000E+000, 0.0000000E+000, 1.6834550E+000, 9.6194728E-001, 6.5707755E-004, 6.5707755E-004
 1.1675835E+002, 1.2499439E+001,-4.2490926E+000,-4.4199276E+000,-2.4855445E+000, 2.5481897E-003, 0.0000000E+000, 0.0000000E+000, 1.1999846E+000, 1.3474222E+000, 6.5707755E-004, 6.5707755E-004
 1.1694931E+002, 1.2497683E+001,-4.1784680E+000,-4.2758529E+000,-2.4976809E+000, 2.5485340E-003, 0.0000000E+000, 0.0000000E+000, 1.5421276E+000, 1.5482295E+000, 6.5707755E-004, 6.5707755E-004
 1.1714027E+002, 1.2496387E+001,-3.9069643E+000,-4.1059597E+000,-2.4932213E+000, 2.5482795E-003, 0.0000000E+000, 0.0000000E+000, 1.7906664E+000, 1.9927904E+000, 6.5707755E-004, 6.5707755E-004
 1.1733123E+002, 1.2494935E+001,-4.0090792E+000,-3.9213143E+000,-2.5218884E+000, 2.5476751E-003, 0.0000000E+000, 0.0000000E+000, 2.1537898E+000, 2.0452005E+000, 6.5707755E-004, 6.5707755E-004
 1.1752219E+002, 1.2495888E+001,-4.0928790E+000,-3.7773387E+000,-2.5113711E+000, 2.5472825E-003, 0.0000000E+000, 0.0000000E+000, 2.2102398E+000, 2.1168464E+000, 6.5707755E-004, 6.5707755E-004
 1.1771316E+002, 1.2496511E+001,-4.1524240E+000,-3.6271203E+000,-2.5218480E+000, 2.5478205E-003, 0.0000000E+000, 0.0000000E+000, 2.2539548E+000, 2.1976662E+000, 6.5707755E-004, 6.5707755E-004
 1.1790412E+002, 1.2497281E+001,-4.1576210E+000,-3.5007309E+000,-2.5368082E+000, 2.5497235E-003, 0.0000000E+000, 0.0000000E+000, 2.3020383E+000, 2.3046704E+000, 6.5707755E-004, 6.5707755E-004
 1.1809508E+002, 1.2498111E+001,-4.1419766E+000,-3.4329541E+000,-2.5516487E+000, 2.5525304E-003, 0.0000000E+000, 0.0000000E+000, 2.3629358E+000, 2.3740837E+000, 6.5707755E-004, 6.5707755E-004
 1.1828604E+002, 1.2498950E+001,-4.1233813E+000,-3.3476523E+000,-2.5542898E+000, 2.5553321E-003, 0.0000000E+000, 0.0000000E+000, 2.4525151E+000, 2.4761816E+000, 6.5707755E-004, 6.5707755E-004
 1.1847701E+002, 1.2499752E+001,-4.0984188E+000,-3.2764644E+000,-2.5808251E+000, 2.5573157E-003, 0.0000000E+000, 0.0000000E+000, 2.4979315E+000, 2.5466008E+000, 6.5707755E-004, 6.5707755E-004
 1.1866796E+002, 1.2500404E+001,-4.0849541E+000,-3.2354967E+000,-2.5618324E+000, 2.5583019E-003, 0.0000000E+000, 0.0000000E+000, 2.5622273E+000, 2.6206789E+000, 6.5707755E-004, 6.5707755E-004
 1.1885892E+002, 1.2500859E+001,-4.1049094E+000,-3.2182905E+000,-2.5590537E+000, 2.5584448E-003, 0.0000000E+000, 0.0000000E+000, 2.5986130E+000, 2.6211643E+000, 6.5707755E-004, 6.5707755E-004
 1.1904989E+002, 1.2500978E+001,-4.0766768E+000,-3.1873169E+000,-2.5675894E+000, 2.5579634E-003, 0.0000000E+000, 0.0000000E+000, 2.5923741E+000, 2.6719530E+000, 6.5707755E-004, 6.5707755E-004
 1.1924085E+002, 1.2500624E+001,-4.0639174E+000,-3.1670647E+000,-2.5698478E+000, 2.5570650E-003, 0.0000000E+000, 0.0000000E+000, 2.6368998E+000, 2.7023515E+000, 6.5707755E-004, 6.5707755E-004
 1.1943181E+002, 1.2499848E+001,-3.5130319E+000,-3.1412923E+000,-2.5737838E+000, 2.5559392E-003, 0.0000000E+000, 0.0000000E+000, 2.6656243E+000, 3.2742958E+000, 6.5707755E-004, 6.5707755E-004
 1.1962277E+002, 1.2498343E+001,-4.1240734E+000,-3.1362677E+000,-2.5808318E+000, 2.5546263E-003, 0.0000000E+000, 0.0000000E+000, 3.2323784E+000, 2.6597245E+000, 6.5707755E-004, 6.5707755E-004
 1.1981374E+002, 1.2497523E+001,-4.1115198E+000,-3.1322074E+000,-2.5853676E+000, 2.5531686E-003, 0.0000000E+000, 0.0000000E+000, 2.6280772E+000, 2.6709812E+000, 6.5707755E-004, 6.5707755E-004
 1.2000000E+002, 1.2609041E+001,-4.0929879E+000,-3.1279644E+000,-2.5907038E+000, 2.5515690E-003, 0.0000000E+000, 0.0000000E+000, 2.6400597E+000, 2.7999361E+000, 6.5707755E-004, 6.5707755E-004
