s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.1686123E+002, 1.2510685E+001,-3.9272998E+000,-2.8180794E+000,-2.6835550E+000, 2.5371262E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0489915E+000, 3.0842877E+000, 6.5707755E-004, 6.5707755E-004
 1.1703320E+002, 1.2505306E+001,-3.9009184E+000,-2.8147214E+000,-2.6862608E+000, 2.5400551E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0813016E+000, 3.1059456E+000, 6.5707755E-004, 6.5707755E-004
 1.1720518E+002, 1.2502578E+001,-3.8836864E+000,-2.8160815E+000,-2.6936173E+000, 2.5427432E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1057533E+000, 3.1117353E+000, 6.5707755E-004, 6.5707755E-004
 1.1737716E+002, 1.2501118E+001,-3.8525404E+000,-2.8141966E+000,-2.6928362E+000, 2.5450219E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1216872E+000, 3.1440902E+000, 6.5707755E-004, 6.5707755E-004
 1.1754913E+002, 1.2500291E+001,-3.8363556E+000,-2.8128015E+000,-2.6919728E+000, 2.5469110E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1563255E+000, 3.1617084E+000, 6.5707755E-004, 6.5707755E-004
 1.1773830E+002, 1.2093213E+001,-3.8112532E+000,-2.8354713E+000,-2.6768546E+000, 2.5485297E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1669098E+000, 2.7721825E+000, 6.5707755E-004, 6.5707755E-004
 1.1792748E+002, 1.2323602E+001,-3.6787011E+000,-2.8496229E+000,-2.6709152E+000, 2.5495828E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7691052E+000, 3.1269121E+000, 6.5707755E-004, 6.5707755E-004
 1.1811665E+002, 1.2422281E+001,-3.6621768E+000,-2.8797899E+000,-2.6648501E+000, 2.5501945E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1119921E+000, 3.2180146E+000, 6.5707755E-004, 6.5707755E-004
 1.1830582E+002, 1.2464698E+001,-3.6710386E+000,-2.9193787E+000,-2.6726572E+000, 2.5506720E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1999638E+000, 3.2041739E+000, 6.5707755E-004, 6.5707755E-004
 1.1849500E+002, 1.2482687E+001,-3.6986807E+000,-2.9659293E+000,-2.6723748E+000, 2.5510898E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1936313E+000, 3.1482527E+000, 6.5707755E-004, 6.5707755E-004
 1.1868417E+002, 1.2489761E+001,-3.7289964E+000,-3.0237805E+000,-2.6686644E+000, 2.5514964E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1251022E+000, 3.0708710E+000, 6.5707755E-004, 6.5707755E-004
 1.1887334E+002, 1.2491882E+001,-3.7646892E+000,-3.0774246E+000,-2.6720483E+000, 2.5518803E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0458658E+000, 2.9802714E+000, 6.5707755E-004, 6.5707755E-004
 1.1906252E+002, 1.2492142E+001,-3.8088288E+000,-3.1248109E+000,-2.6813959E+000, 2.5521258E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9568890E+000, 2.8796583E+000, 6.5707755E-004, 6.5707755E-004
 1.1923022E+002, 1.3020707E+001,-3.5000129E+000,-3.1444489E+000,-2.6875185E+000, 2.5520836E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8663250E+000, 3.6912786E+000, 6.5707755E-004, 6.5707755E-004
 1.1939791E+002, 1.2744021E+001,-3.7893239E+000,-3.1813300E+000,-2.6983032E+000, 2.5519051E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6796722E+000, 3.0776160E+000, 6.5707755E-004, 6.5707755E-004
 1.1956561E+002, 1.2613561E+001,-3.3421827E+000,-3.1945719E+000,-2.7070191E+000, 2.5515276E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0699552E+000, 3.3723393E+000, 6.5707755E-004, 6.5707755E-004
 1.1973330E+002, 1.2582931E+001,-3.5923529E+000,-3.2137420E+000,-2.7167536E+000, 2.5508063E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3662440E+000, 3.0626331E+000, 6.5707755E-004, 6.5707755E-004
 1.1990099E+002, 1.2557513E+001,-3.7143864E+000,-3.2343459E+000,-2.7248370E+000, 2.5499559E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0555322E+000, 2.8864932E+000, 6.5707755E-004, 6.5707755E-004
 1.2000000E+002, 1.4381843E+001,-4.0132635E+000,-3.2180299E+000,-2.7266352E+000, 2.5492770E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8869420E+000, 4.4264637E+000, 6.5707755E-004, 6.5707755E-004
