s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile","Profile"
 7.3354285E-003, 3.5006752E+001, 3.5010381E+001, 3.5014009E+001, 3.5016810E+001, 3.5017874E+001, 3.5016511E+001, 3.5012560E+001, 3.5006555E+001, 3.4999615E+001, 3.4993091E+001, 3.4988148E+001, 3.4985446E+001, 3.4985034E+001, 3.4986454E+001, 3.4988968E+001, 3.4991815E+001
 7.4465714E-003, 3.5012068E+001, 3.5017779E+001, 3.5023403E+001, 3.5027629E+001, 3.5029013E+001, 3.5026467E+001, 3.5019757E+001, 3.5009771E+001, 3.4998331E+001, 3.4987623E+001, 3.4979519E+001, 3.4975075E+001, 3.4974381E+001, 3.4976706E+001, 3.4980866E+001, 3.4985629E+001
 7.5577142E-003, 3.5020304E+001, 3.5029160E+001, 3.5037795E+001, 3.5044154E+001, 3.5045983E+001, 3.5041583E+001, 3.5030609E+001, 3.5014491E+001, 3.4996140E+001, 3.4979028E+001, 3.4966104E+001, 3.4959031E+001, 3.4957943E+001, 3.4961696E+001, 3.4968420E+001, 3.4976158E+001
 7.6688571E-003, 3.5032655E+001, 3.5046131E+001, 3.5059175E+001, 3.5068642E+001, 3.5071076E+001, 3.5063871E+001, 3.5046514E+001, 3.5021249E+001, 3.4992617E+001, 3.4966004E+001, 3.4945959E+001, 3.4935027E+001, 3.4933403E+001, 3.4939325E+001, 3.4949905E+001, 3.4962107E+001
 7.7799999E-003, 3.5050581E+001, 3.5070638E+001, 3.5089947E+001, 3.5103803E+001, 3.5107032E+001, 3.5095720E+001, 3.5069116E+001, 3.5030644E+001, 3.4987204E+001, 3.4946951E+001, 3.4916723E+001, 3.4900312E+001, 3.4897984E+001, 3.4907082E+001, 3.4923262E+001, 3.4941932E+001
 7.8911428E-003, 3.5075742E+001, 3.5104882E+001, 3.5132805E+001, 3.5152656E+001, 3.5156878E+001, 3.5139747E+001, 3.5100180E+001, 3.5043262E+001, 3.4979205E+001, 3.4920027E+001, 3.4875735E+001, 3.4851815E+001, 3.4848604E+001, 3.4862193E+001, 3.4886223E+001, 3.4913943E+001
 8.0022856E-003, 3.5109865E+001, 3.5151124E+001, 3.5190491E+001, 3.5218232E+001, 3.5223609E+001, 3.5198488E+001, 3.5141358E+001, 3.5059558E+001, 3.4967793E+001, 3.4883286E+001, 3.4820270E+001, 3.4786445E+001, 3.4782194E+001, 3.4801918E+001, 3.4836562E+001, 3.4876490E+001
 8.1134285E-003, 3.5154518E+001, 3.5211381E+001, 3.5265397E+001, 3.5303108E+001, 3.5309691E+001, 3.5273935E+001, 3.5193826E+001, 3.5079674E+001, 3.4952043E+001, 3.4834911E+001, 3.4747930E+001, 3.4701575E+001, 3.4696207E+001, 3.4724023E+001, 3.4772493E+001, 3.4828271E+001
 8.2245713E-003, 3.5210790E+001, 3.5287000E+001, 3.5359032E+001, 3.5408781E+001, 3.5416380E+001, 3.5366897E+001, 3.5257807E+001, 3.5103201E+001, 3.4930987E+001, 3.4773548E+001, 3.4657192E+001, 3.4595705E+001, 3.4589311E+001, 3.4627419E+001, 3.4693204E+001, 3.4768738E+001
 8.3357142E-003, 3.5278896E+001, 3.5378130E+001, 3.5471366E+001, 3.5534906E+001, 3.5542936E+001, 3.5476279E+001, 3.5332032E+001, 3.5128944E+001, 3.4903727E+001, 3.4698737E+001, 3.4548073E+001, 3.4469265E+001, 3.4462207E+001, 3.4512919E+001, 3.4599480E+001, 3.4698562E+001
 8.4468571E-003, 3.5357728E+001, 3.5483145E+001, 3.5600131E+001, 3.5678520E+001, 3.5685832E+001, 3.5598398E+001, 3.5413281E+001, 3.5154769E+001, 3.4869621E+001, 3.4611410E+001, 3.4422846E+001, 3.4325431E+001, 3.4318449E+001, 3.4383973E+001, 3.4494313E+001, 3.4620087E+001
 8.5579999E-003, 3.5444429E+001, 3.5598093E+001, 3.5740172E+001, 3.5833360E+001, 3.5838141E+001, 3.5726528E+001, 3.5496163E+001, 3.5177657E+001, 3.4828601E+001, 3.4514405E+001, 3.4286677E+001, 3.4170791E+001, 3.4165072E+001, 3.4247206E+001, 3.4383314E+001, 3.4537628E+001
 8.6691428E-003, 3.5534061E+001, 3.5716297E+001, 3.5883017E+001, 3.5989477E+001, 3.5989310E+001, 3.5850916E+001, 3.5573356E+001, 3.5194097E+001, 3.4781629E+001, 3.4412919E+001, 3.4148003E+001, 3.4015631E+001, 3.4012775E+001, 3.4112518E+001, 3.4274761E+001, 3.4457473E+001
