,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
 103900,2020-11-06T13:44:09.004+01:00,   0.291E-04,   4.95145,1544.92188
 104000,2020-11-06T13:44:09.353+01:00,   0.236E-04,   4.95429,1546.29688
 104100,2020-11-06T13:44:09.740+01:00,   0.314E-04,   4.95723,1547.85938
 104200,2020-11-06T13:44:10.132+01:00,   0.318E-04,   4.96006,1549.37500
 104300,2020-11-06T13:44:10.511+01:00,   0.281E-04,   4.96307,1550.85938
 104400,2020-11-06T13:44:10.891+01:00,   0.276E-04,   4.96612,1552.34375
 104500,2020-11-06T13:44:11.242+01:00,   0.293E-04,   4.96871,1553.75000
 104600,2020-11-06T13:44:11.644+01:00,   0.255E-04,   4.97174,1555.37500
 104700,2020-11-06T13:44:12.057+01:00,   0.308E-04,   4.97466,1556.98438
 104800,2020-11-06T13:44:12.464+01:00,   0.250E-04,   4.97761,1558.53125
 104900,2020-11-06T13:44:12.842+01:00,   0.296E-04,   4.98052,1559.96875
 105000,2020-11-06T13:44:13.201+01:00,   0.290E-04,   4.98349,1561.40625
 105100,2020-11-06T13:44:13.604+01:00,   0.309E-04,   4.98648,1562.96875
 105200,2020-11-06T13:44:13.943+01:00,   0.278E-04,   4.98941,1564.31250
 105300,2020-11-06T13:44:14.307+01:00,   0.269E-04,   4.99234,1565.70312
 105400,2020-11-06T13:44:14.690+01:00,   0.319E-04,   4.99536,1567.18750
 105500,2020-11-06T13:44:15.048+01:00,   0.273E-04,   4.99815,1568.53125
 105600,2020-11-06T13:44:15.445+01:00,   0.305E-04,   5.00106,1570.06250
 105700,2020-11-06T13:44:15.778+01:00,   0.301E-04,   5.00423,1571.34375
 105800,2020-11-06T13:44:16.175+01:00,   0.238E-04,   5.00687,1572.90625
 105900,2020-11-06T13:44:16.558+01:00,   0.302E-04,   5.00967,1574.40625
 106000,2020-11-06T13:44:16.964+01:00,   0.285E-04,   5.01272,1576.01562
 106100,2020-11-06T13:44:17.336+01:00,   0.243E-04,   5.01557,1577.46875
 106200,2020-11-06T13:44:17.705+01:00,   0.284E-04,   5.01842,1578.89062
 106300,2020-11-06T13:44:18.089+01:00,   0.298E-04,   5.02125,1580.42188
 106400,2020-11-06T13:44:18.443+01:00,   0.315E-04,   5.02408,1581.85938
 106500,2020-11-06T13:44:18.832+01:00,   0.337E-04,   5.02715,1583.31250
 106600,2020-11-06T13:44:19.241+01:00,   0.315E-04,   5.02999,1584.93750
 106700,2020-11-06T13:44:19.670+01:00,   0.275E-04,   5.03284,1586.56250
 106800,2020-11-06T13:44:20.091+01:00,   0.264E-04,   5.03571,1588.25000
 106900,2020-11-06T13:44:20.673+01:00,   0.316E-04,   5.03850,1590.39062
 107000,2020-11-06T13:44:21.094+01:00,   0.310E-04,   5.04158,1592.00000
 107100,2020-11-06T13:44:21.435+01:00,   0.272E-04,   5.04460,1593.37500
 107200,2020-11-06T13:44:21.776+01:00,   0.299E-04,   5.04758,1594.75000
 107300,2020-11-06T13:44:22.088+01:00,   0.291E-04,   5.05048,1596.00000
 107400,2020-11-06T13:44:22.435+01:00,   0.291E-04,   5.05339,1597.37500
 107500,2020-11-06T13:44:22.750+01:00,   0.291E-04,   5.05631,1598.60938
 107600,2020-11-06T13:44:23.086+01:00,   0.283E-04,   5.05931,1599.98438
 107700,2020-11-06T13:44:23.454+01:00,   0.311E-04,   5.06229,1601.40625
 107800,2020-11-06T13:44:23.947+01:00,   0.279E-04,   5.06513,1603.31250
 107900,2020-11-06T13:44:24.332+01:00,   0.293E-04,   5.06797,1604.85938
 108000,2020-11-06T13:44:24.707+01:00,   0.310E-04,   5.07095,1606.31250
 108100,2020-11-06T13:44:25.118+01:00,   0.304E-04,   5.07382,1607.93750
 108200,2020-11-06T13:44:25.490+01:00,   0.270E-04,   5.07687,1609.43750
 108300,2020-11-06T13:44:25.885+01:00,   0.321E-04,   5.07983,1610.89062
 108400,2020-11-06T13:44:26.275+01:00,   0.306E-04,   5.08285,1612.39062
 108500,2020-11-06T13:44:26.673+01:00,   0.283E-04,   5.08571,1613.85938
 108600,2020-11-06T13:44:27.304+01:00,   0.266E-04,   5.08869,1616.01562
 108700,2020-11-06T13:44:27.722+01:00,   0.263E-04,   5.09173,1617.62500
 108800,2020-11-06T13:44:28.106+01:00,   0.304E-04,   5.09448,1619.12500
 108900,2020-11-06T13:44:28.481+01:00,   0.272E-04,   5.09732,1620.60938
 109000,2020-11-06T13:44:28.888+01:00,   0.318E-04,   5.10021,1622.17188
 109100,2020-11-06T13:44:29.293+01:00,   0.292E-04,   5.10300,1623.79688
 109200,2020-11-06T13:44:29.769+01:00,   0.277E-04,   5.10595,1625.67188
 109300,2020-11-06T13:44:30.175+01:00,   0.304E-04,   5.10896,1627.25000
 109400,2020-11-06T13:44:30.558+01:00,   0.325E-04,   5.11201,1628.75000
 109500,2020-11-06T13:44:30.940+01:00,   0.312E-04,   5.11508,1630.23438
 109600,2020-11-06T13:44:31.330+01:00,   0.266E-04,   5.11798,1631.76562
 109700,2020-11-06T13:44:31.700+01:00,   0.322E-04,   5.12093,1633.25000
 109800,2020-11-06T13:44:32.041+01:00,   0.290E-04,   5.12401,1634.62500
 109900,2020-11-06T13:44:32.696+01:00,   0.300E-04,   5.12674,1636.82812
 110000,2020-11-06T13:44:33.102+01:00,   0.290E-04,   5.12967,1638.43750
 110100,2020-11-06T13:44:33.479+01:00,   0.278E-04,   5.13263,1639.87500
 110200,2020-11-06T13:44:33.838+01:00,   0.269E-04,   5.13563,1641.29688
 110300,2020-11-06T13:44:34.246+01:00,   0.257E-04,   5.13863,1642.90625
 110400,2020-11-06T13:44:34.760+01:00,   0.306E-04,   5.14153,1644.81250
 110500,2020-11-06T13:44:35.187+01:00,   0.306E-04,   5.14459,1646.45312
 110600,2020-11-06T13:44:35.581+01:00,   0.299E-04,   5.14742,1648.03125
 110700,2020-11-06T13:44:36.020+01:00,   0.281E-04,   5.15020,1649.71875
 110800,2020-11-06T13:44:36.410+01:00,   0.296E-04,   5.15305,1651.23438
 110900,2020-11-06T13:44:36.803+01:00,   0.286E-04,   5.15584,1652.73438
 111000,2020-11-06T13:44:37.173+01:00,   0.290E-04,   5.15853,1654.09375
 111100,2020-11-06T13:44:37.562+01:00,   0.224E-04,   5.16127,1655.64062
 111200,2020-11-06T13:44:37.943+01:00,   0.271E-04,   5.16395,1657.17188
 111300,2020-11-06T13:44:38.297+01:00,   0.281E-04,   5.16669,1658.50000
 111400,2020-11-06T13:44:38.684+01:00,   0.324E-04,   5.16958,1660.03125
 111500,2020-11-06T13:44:39.062+01:00,   0.280E-04,   5.17247,1661.50000
 111600,2020-11-06T13:44:39.506+01:00,   0.288E-04,   5.17535,1663.25000
 111700,2020-11-06T13:44:39.942+01:00,   0.262E-04,   5.17838,1665.00000
 111800,2020-11-06T13:44:40.296+01:00,   0.265E-04,   5.18117,1666.37500
 111900,2020-11-06T13:44:40.704+01:00,   0.285E-04,   5.18411,1667.93750
 112000,2020-11-06T13:44:41.075+01:00,   0.289E-04,   5.18705,1669.35938
 112100,2020-11-06T13:44:41.432+01:00,   0.312E-04,   5.19010,1670.78125
 112200,2020-11-06T13:44:41.833+01:00,   0.241E-04,   5.19292,1672.39062
 112300,2020-11-06T13:44:42.222+01:00,   0.292E-04,   5.19575,1673.89062
 112400,2020-11-06T13:44:42.638+01:00,   0.269E-04,   5.19867,1675.51562
 112500,2020-11-06T13:44:43.053+01:00,   0.253E-04,   5.20156,1677.20312
 112600,2020-11-06T13:44:43.473+01:00,   0.298E-04,   5.20447,1678.89062
 112700,2020-11-06T13:44:43.927+01:00,   0.289E-04,   5.20747,1680.59375
 112800,2020-11-06T13:44:44.320+01:00,   0.289E-04,   5.21036,1682.12500
 112900,2020-11-06T13:44:44.755+01:00,   0.277E-04,   5.21295,1683.87500
 113000,2020-11-06T13:44:45.151+01:00,   0.295E-04,   5.21562,1685.34375
 113100,2020-11-06T13:44:45.526+01:00,   0.256E-04,   5.21836,1686.81250
 113200,2020-11-06T13:44:45.933+01:00,   0.299E-04,   5.22124,1688.42188
 113300,2020-11-06T13:44:46.347+01:00,   0.289E-04,   5.22414,1690.09375
 113400,2020-11-06T13:44:46.771+01:00,   0.303E-04,   5.22709,1691.78125
 113500,2020-11-06T13:44:47.143+01:00,   0.262E-04,   5.22982,1693.20312
 113600,2020-11-06T13:44:47.544+01:00,   0.303E-04,   5.23255,1694.82812
